"Order","Family","Genus","Species","spawningMode","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnSize","lnEggSize","absLatitude"
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.701,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 March","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.531216313413725,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.7,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 April","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.53062825106217,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.615,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 May","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.47933495667462,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.647,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 June","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.498955451195503,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.555,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 July","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.441475545631197,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.487,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 August","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.396760667478018,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.472,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1992 September","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.386622020306684,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.67,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1993 February","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.512823626428664,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.732,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1993 March","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.549276810140243,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.69,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1993 April","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.524728528934982,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.621,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1993 May","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.483043242753539,43.501384
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal",NA,"",1.546,"",NA,"brackish lagoons of Mauguio, Perols and Mejean (Herault, southern France)","1993 June","",FALSE,FALSE,43.501384,4.014122,"tomasini_ja_1996_j49_594.pdf",NA,0.43567095016523,43.501384
