Species,ottFrame,obs
Atherina boyeri,Atherina_boyeri_pontica_ott,misnomer
Auxis rochei,Auxis_rochei_rochei_ott,misnomer
Cheilopogon pinnatibarbatus,Cheilopogon_pinnatibarbatus_japonicus_ott,misnomer
Chelon ramada,Liza_ramado_ott,misnomer
Chionodraco kathleenae,Chionodraco_hamatus_ott,misnomer
Clupea pallasii,Clupea_pallasii_pallasii_ott,misnomer
Coris gaimard,Coris_gaimard_africana_ott,misnomer
Cynoscion regalis,Cynoscion_regalis_ssp._'gilli'_ott,misnomer
Cyprinodon variegatus,Cyprinodon_variegatus_variegatus_ott,misnomer
Eleginus nawaga,Eleginus_navaga_ott,misnomer
Forsterygion capito,Tripterygion_jenningsi_ott,misnomer
Fundulus heteroclitus,Fundulus_heteroclitus_heteroclitus_ott,misnomer
Fundulus xenicus,Adinia_xenica_ott,misnomer
Gadus morhua,Gadus_morhua_kildinensis_ott,misnomer
Gasterosteus aculeatus,Gasterosteus_aculeatus_aculeatus_ott,misnomer
Haemulopsis corvinaeformis,Pomadasys_corvinaeformis_ott,misnomer
Hippocampus guttulatus,Hippocampus_guttulatus_microstephanus_ott,misnomer
Jaydia hungi,Apogon_hungi_ott,misnomer
Lactoria fornasini,Lactoria_cornuta_ott,closely related
Liopsetta putnami,Liopsetta_glacialis_ott,closely related
Mallotus villosus,Mallotus_villosus_villosus_ott,misnomer
Merluccius merluccius,Merluccius_merluccius_merluccius_ott,misnomer
Micromesistius australis,Micromesistius_australis_australis_ott,misnomer
Nerophis exilis,Nerophis_aequoreus_ott,closely related
Ostracion meleagris,Ostracion_meleagris_meleagris,misnomer
Paroncheilus affinis,Apogon_affinis_ott,misnomer
Planiliza subviridis,Liza_subviridis_ott,misnomer
Pseudotrematomus bernacchii,Trematomus_bernacchii_ott,misnomer
Pseudotrematomus hansoni,Trematomus_hansoni_ott,misnomer
Pseudotrematomus loennbergii,Trematomus_loennbergii_ott,misnomer
Repomucenus beniteguri,Callionymus_beniteguri_ott,misnomer
Sardinops sagax,Sardinops_sagax_sagax_ott,misnomer
Scomberesox saurus,Scomberesox_saurus_saurus_ott,misnomer
Sprattus sprattus,Sprattus_sprattus_sprattus_ott,misnomer
Synchiropus sechellensis,Foetorepus_altivelis_ott,misnomer
Taeniamia lineolata,Archamia_lineolata_ott,misnomer
Thunnus thynnus,Thunnus_thynnus_thynnus_ott,misnomer
Trichiurus lepturus,Trichiurus_lepturus_nanhaiensis_ott,misnomer
Trisopterus minutus,Trisopterus_minutus_minutus_ott,misnomer
