"order","family","genus","species","spawningMode","source"
"Atheriniformes","Atherinidae","Atherina","Atherina boyeri","demersal","http://www.fishbase.org/summary/Atherina-boyeri"
"Atheriniformes","Atherinidae","Atherina","Atherina presbyter","demersal","http://www.fishbase.org/summary/Atherina-presbyter"
"Atheriniformes","Atherinopsidae","Atherinopsis","Atherinopsis californiensis","demersal","http://www.fishbase.org/summary/Atherinopsis-californiensis"
"Atheriniformes","Atherinopsidae","Leuresthes","Leuresthes tenuis","demersal","http://www.fishbase.org/summary/Leuresthes-tenuis"
"Atheriniformes","Atherinopsidae","Membras","Membras martinica","pelagic","NA"
"Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","demersal","http://www.fishbase.org/summary/Menidia-menidia"
"Aulopiformes","Synodontidae","Synodus","Synodus intermedius","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus","demersal","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon pinnatibarbatus","pelagic","NA"
"Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys affinis","demersal","NA"
"Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus brasiliensis","demersal","NA"
"Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus quoyi","pelagic","NA"
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic","http://www.fishbase.org/summary/Scomberesox-saurus"
"Clupeiformes","Clupeidae","Alosa","Alosa mediocris","demersal","http://www.fishbase.org/summary/Alosa-mediocris"
"Clupeiformes","Clupeidae","Amblygaster","Amblygaster sirm","pelagic","NA"
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","pelagic","NA"
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic","http://www.fishbase.org/summary/Brevoortia-tyrannus"
"Clupeiformes","Clupeidae","Clupea","Clupea pallasii","demersal","http://www.fishbase.org/summary/Clupea-pallasii"
"Clupeiformes","Clupeidae","Ethmalosa","Ethmalosa fimbriata","pelagic","http://www.fishbase.org/summary/Ethmalosa-fimbriata"
"Clupeiformes","Clupeidae","Hyperlophus","Hyperlophus vittatus","pelagic","http://www.fishbase.org/summary/Hyperlophus-vittatus"
"Clupeiformes","Clupeidae","Nematalosa","Nematalosa vlaminghi","pelagic","http://www.fishbase.org/summary/Nematalosa-vlaminghi"
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic","http://www.fishbase.org/summary/Sardina-pilchardus"
"Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","pelagic","http://www.fishbase.org/summary/Sardinops-sagax"
"Clupeiformes","Clupeidae","Spratelloides","Spratelloides gracilis","demersal","NA"
"Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","pelagic","http://www.fishbase.org/summary/Sprattus-sprattus"
"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","pelagic","http://www.fishbase.org/summary/Anchoa-mitchilli"
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic","http://www.fishbase.org/summary/Cetengraulis-mysticetus"
"Clupeiformes","Engraulidae","Encrasicholina","Encrasicholina heteroloba","pelagic","http://www.fishbase.org/summary/Encrasicholina-heteroloba"
"Clupeiformes","Engraulidae","Encrasicholina","Encrasicholina purpurea","pelagic","http://www.fishbase.org/summary/Encrasicholina-purpurea"
"Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","pelagic","assumed to be the same as Engraulis encrasicolus"
"Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","pelagic","http://www.fishbase.org/summary/Engraulis-encrasicolus"
